date,value
1977-12-31,-5.64851668866225
1978-12-31,-6.23889963754389
1979-12-31,-8.36107941326356
1980-12-31,-2.01398440649132
1981-12-31,-9.64424162168997
1982-12-31,-6.6921090195543
1983-12-31,-1.06429269398936
1984-12-31,-5.55386591533602
1985-12-31,-4.65076269628491
1986-12-31,-3.49407515387107
1987-12-31,0.0497900138696242
1988-12-31,-2.97556725417425
1989-12-31,-3.29141667060211
1990-12-31,5.41428288100209
1991-12-31,9.010952
1992-12-31,7.81250251617541
1993-12-31,5.44885051546392
1994-12-31,0.0597325714285714
1995-12-31,-0.422212745098039
1996-12-31,-0.283898866608544
1997-12-31,-0.905827378713802
1998-12-31,-3.02491579679889
1999-12-31,-1.80221287386216
2000-12-31,-0.972570273448986
2001-12-31,-0.401718427655422
2002-12-31,0.730979150171549
2003-12-31,4.66231377245509
2004-12-31,4.97788419534309
2005-12-31,2.34529559888579
2006-12-31,2.45322162862231
2007-12-31,0.315552631578947
2008-12-31,-0.868821887213847
2009-12-31,-1.7707391095759
2010-12-31,-2.05668307641306
2011-12-31,-2.32378812632193
2012-12-31,-2.49788021735236
2013-12-31,-1.22513249838744
2014-12-31,-1.94849131455399
2015-12-31,-5.23529137853431
2016-12-31,-6.16465951871263
2017-12-31,-3.19681566782461
2018-12-31,-2.93164483711978
2019-12-31,-3.20758543154938
2020-12-31,-3.70903990583375
2021-12-31,-4.38240299812001
2022-12-31,-2.2100904275198
2023-12-31,-3.17338763053558
2024-12-31,-5.68596234093524
2025-12-31,-3.81547628555514
