date,value
2000-12-31,19.31
2001-12-31,19.52
2002-12-31,19.82
2003-12-31,19.57
2004-12-31,19.14
2005-12-31,19.12
2006-12-31,18.93
2007-12-31,18.96
2008-12-31,19.11
2009-12-31,18.94
2010-12-31,18.93
2011-12-31,18.42
2012-12-31,18.15
2013-12-31,18.17
2014-12-31,18.5
2015-12-31,18.26
2016-12-31,17.64
2017-12-31,17.28
2018-12-31,17.19
2019-12-31,16.74
2020-12-31,16.38
2021-12-31,15.79
2022-12-31,16.22
2023-12-31,15.11
2024-12-31,13.96
2025-12-31,13.92
