date,value
1991-12-31,9.38
1992-12-31,8.92
1993-12-31,10.92
1994-12-31,10.93
1995-12-31,11.04
1996-12-31,9.0
1997-12-31,8.37
1998-12-31,8.03
1999-12-31,7.95
2000-12-31,8.98
2001-12-31,9.26
2002-12-31,10.01
2003-12-31,10.91
2004-12-31,10.32
2005-12-31,11.049
2006-12-31,10.49
2007-12-31,8.8
2008-12-31,8.517
2009-12-31,9.087
2010-12-31,8.757
2011-12-31,11.849
2012-12-31,12.597
2013-12-31,13.154
2014-12-31,13.105
2015-12-31,13.052
2016-12-31,12.45
2017-12-31,11.767
2018-12-31,9.855
2019-12-31,7.851
2020-12-31,7.974
2021-12-31,7.441
2022-12-31,6.546
2023-12-31,6.753
2024-12-31,6.817
2025-12-31,6.781
