date,value
1990-12-31,3.01
1991-12-31,2.95
1992-12-31,3.01
1993-12-31,3.04
1994-12-31,2.81
1995-12-31,2.86
1996-12-31,2.89
1997-12-31,2.84
1998-12-31,2.82
1999-12-31,2.71
2000-12-31,2.43
2001-12-31,2.67
2002-12-31,2.66
2003-12-31,2.67
2004-12-31,2.8
2005-12-31,3.08
2006-12-31,3.04
2007-12-31,3.03
2008-12-31,2.93
2009-12-31,2.87
2010-12-31,2.7
2011-12-31,2.78
2012-12-31,2.8
2013-12-31,2.65
2014-12-31,2.65
2015-12-31,2.53
2016-12-31,2.66
2017-12-31,2.68
2018-12-31,2.52
2019-12-31,2.35
2020-12-31,2.2
2021-12-31,2.31
2022-12-31,2.31
2023-12-31,2.33
