date,value
1960-12-31,266967600.0
1961-12-31,203625200.0
1962-12-31,223227760.0
1963-12-31,216277440.0
1964-12-31,223742480.0
1965-12-31,193777600.0
1966-12-31,156816540.0
1967-12-31,196019200.0
1968-12-31,187040600.0
1969-12-31,145124800.0
1970-12-31,165038580.0
1971-12-31,163240183.243181
1972-12-31,209341387.16194
1973-12-31,532593785.436518
1974-12-31,705412654.534802
1975-12-31,535004016.97094
1976-12-31,567297179.704645
1977-12-31,831886353.001224
1978-12-31,1050567897.61415
1979-12-31,1795125066.24924
1980-12-31,2479664000.0
1981-12-31,1682922621.2587
1982-12-31,1809313172.89459
1983-12-31,1698907670.24248
1984-12-31,1485991444.00965
1985-12-31,1587362857.64499
1986-12-31,1779681031.96702
1987-12-31,2555643305.43489
1988-12-31,2261158622.65344
1989-12-31,2495363416.40602
1990-12-31,3619931742.61285
1991-12-31,6185285500.81964
1992-12-31,11620220747.8378
1993-12-31,13854276438.8218
1994-12-31,14412967684.9265
1995-12-31,17121798673.9485
1996-12-31,18296476060.6246
1997-12-31,19370588197.9808
1998-12-31,18823907998.2299
1999-12-31,15190021676.7155
2000-12-31,13785040867.624
2001-12-31,13598234040.4969
2002-12-31,14076054422.998
2003-12-31,14603576021.3741
2004-12-31,15338514716.8958
2005-12-31,21856784928.5556
2006-12-31,26006845068.1543
2007-12-31,32214421786.3476
2008-12-31,34330505048.3926
2009-12-31,34896678266.342
2010-12-31,37028506134.5559
2011-12-31,18637541110.4777
2012-12-31,15672467970.7728
2013-12-31,16536236826.4074
2014-12-31,14926998051.7397
2015-12-31,15858887325.7756
2016-12-31,23642691705.9678
2017-12-31,36400242555.8255
2018-12-31,41839242990.7097
2019-12-31,44568837112.0669
2020-12-31,38972812936.6708
2021-12-31,39824388217.3615
2022-12-31,32143926008.4607
2023-12-31,33070180836.1374
2024-12-31,44921341018.4659
2025-12-31,48875494539.269
