date,value
1960-12-31,21.8255051884216
1961-12-31,19.7418860209558
1962-12-31,19.5184708693255
1963-12-31,23.5869266684977
1964-12-31,24.8742368742369
1965-12-31,20.1324210990951
1966-12-31,20.4841941684047
1967-12-31,19.1139340381884
1968-12-31,17.4635683339898
1969-12-31,16.5330661322645
1970-12-31,17.0945777111444
1971-12-31,17.7829783452321
1972-12-31,17.3751077256679
1973-12-31,18.1611208406305
1974-12-31,31.2974177716743
1975-12-31,35.546300832925
1976-12-31,27.9181457506786
1977-12-31,31.365790082705
1978-12-31,33.9362115908207
1979-12-31,42.9715246067986
1980-12-31,42.8683992756551
1981-12-31,43.498141105081
1982-12-31,37.8687210545066
1983-12-31,34.2105263157895
1984-12-31,31.9620253164557
1985-12-31,27.8820375335121
1986-12-31,22.2222222222222
1987-12-31,22.7184466019417
1988-12-31,35.2272727272727
1989-12-31,32.3376623376623
1990-12-31,32.5678496868476
1991-12-31,35.3777777777778
1992-12-31,30.9130122214234
1993-12-31,30.090206185567
1994-12-31,28.0571428571429
1995-12-31,27.6960784313726
1996-12-31,26.1987794245859
1997-12-31,24.8965776607747
1998-12-31,25.7132915796799
1999-12-31,23.3094928478544
2000-12-31,22.8168185827698
2001-12-31,22.330638416504
2002-12-31,22.6708894167326
2003-12-31,24.3832335329341
2004-12-31,29.5899443643107
2005-12-31,32.6090993500464
2006-12-31,31.5687226809131
2007-12-31,34.828141783029
2008-12-31,38.6376326074819
2009-12-31,31.596622529265
2010-12-31,26.5871042599039
2011-12-31,24.6882065494858
2012-12-31,24.3148026512211
2013-12-31,23.3551924317351
2014-12-31,22.6760563380282
2015-12-31,21.6620974671631
2016-12-31,19.9010851110947
2017-12-31,27.8180475395935
2018-12-31,27.9263640649779
2019-12-31,24.4799857040743
2020-12-31,19.6534798296655
2021-12-31,19.295823265447
2022-12-31,21.8960790564233
2023-12-31,21.3443094314355
2024-12-31,23.2245098772607
2025-12-31,31.5143194274435
