date,value
1961-12-31,5.16111414342448
1962-12-31,3.87561672369634
1963-12-31,10.5180926173666
1964-12-31,11.5075774740325
1965-12-31,4.91404229223662
1966-12-31,5.04640371248233
1967-12-31,0.805264127039209
1968-12-31,-1.60679234956356
1969-12-31,5.27951751357089
1970-12-31,5.59851503851672
1971-12-31,4.05734632653112
1972-12-31,3.05568062514286
1973-12-31,3.50683016247268
1974-12-31,1.55893857170508
1975-12-31,8.93914715890884
1976-12-31,13.2796894430741
1977-12-31,9.00304426675032
1978-12-31,8.62876764493188
1979-12-31,4.54768962839718
1980-12-31,10.0113290379907
1981-12-31,7.3485538963286
1982-12-31,9.90717113397825
1983-12-31,5.09440684048046
1984-12-31,9.74576271171259
1985-12-31,5.79150579142357
1986-12-31,4.74452554738158
1987-12-31,3.83275261319132
1988-12-31,5.46132049551341
1989-12-31,4.92086860390228
1990-12-31,5.66702915715818
1991-12-31,1.12540459520747
1992-12-31,4.47285918408184
1993-12-31,2.90079079959442
1994-12-31,3.97317218034541
1995-12-31,4.64245877240639
1996-12-31,4.98873056512208
1997-12-31,5.49235474302942
1998-12-31,5.575497460986
1999-12-31,6.05343878467555
2000-12-31,6.37000382991766
2001-12-31,3.53525197391507
2002-12-31,2.39020402675627
2003-12-31,3.19345473756772
2004-12-31,4.09207161019908
2005-12-31,4.4717444710621
2006-12-31,6.84383819369884
2007-12-31,7.08782742675582
2008-12-31,7.15628356711522
2009-12-31,4.67359980000663
2010-12-31,5.14723485746742
2011-12-31,1.76457194806041
2012-12-31,2.22619979818487
2013-12-31,2.18546605363386
2014-12-31,2.91591188052836
2015-12-31,4.37201907781687
2016-12-31,4.34664345601914
2017-12-31,4.18122099961562
2018-12-31,5.33110861887155
2019-12-31,5.55209307084222
2020-12-31,3.55016483883115
2021-12-31,3.29064601193245
2022-12-31,6.58784560870467
2023-12-31,3.76028052279247
2024-12-31,2.3991692678251
2025-12-31,4.39201068570188
