symbol,sector,raw_date_utc,open,high,low,close,adj_close,volume
RREI.CA,Real Estate,2022-01-01 22:00:00,0.8289999961853027,0.9150000214576721,0.8500000238418579,0.9049999713897705,0.9049999713897705,3313545
RREI.CA,Real Estate,2022-01-02 22:00:00,0.9049999713897705,0.9440000057220459,0.8799999952316284,0.9319999814033508,0.9319999814033508,2426352
RREI.CA,Real Estate,2022-01-03 22:00:00,0.9319999814033508,0.9509999752044678,0.9100000262260437,0.921999990940094,0.921999990940094,1516064
RREI.CA,Real Estate,2022-01-04 22:00:00,0.921999990940094,0.949999988079071,0.9100000262260437,0.9129999876022339,0.9129999876022339,1291555
RREI.CA,Real Estate,2022-01-08 22:00:00,0.9129999876022339,0.9129999876022339,0.9129999876022339,0.9129999876022339,0.9129999876022339,0
RREI.CA,Real Estate,2022-01-09 22:00:00,0.9229999780654907,0.9480000138282776,0.9039999842643738,0.9100000262260437,0.9100000262260437,915473
RREI.CA,Real Estate,2022-01-10 22:00:00,0.9100000262260437,0.9470000267028809,0.9020000100135803,0.9160000085830688,0.9160000085830688,2206511
RREI.CA,Real Estate,2022-01-11 22:00:00,0.9160000085830688,0.9430000185966492,0.9010000228881836,0.9089999794960022,0.9089999794960022,773404
RREI.CA,Real Estate,2022-01-12 22:00:00,0.9089999794960022,0.9240000247955322,0.8700000047683716,0.878000020980835,0.878000020980835,801025
RREI.CA,Real Estate,2022-01-15 22:00:00,0.878000020980835,0.8899999856948853,0.8100000023841858,0.8389999866485596,0.8389999866485596,1090835
RREI.CA,Real Estate,2022-01-16 22:00:00,0.8389999866485596,0.8690000176429749,0.8389999866485596,0.8420000076293945,0.8420000076293945,554158
RREI.CA,Real Estate,2022-01-17 22:00:00,0.8420000076293945,0.8700000047683716,0.8299999833106995,0.8569999933242798,0.8569999933242798,1273891
RREI.CA,Real Estate,2022-01-18 22:00:00,0.8569999933242798,0.8730000257492065,0.8299999833106995,0.8399999737739563,0.8399999737739563,905963
RREI.CA,Real Estate,2022-01-19 22:00:00,0.8399999737739563,0.8500000238418579,0.8199999928474426,0.8309999704360962,0.8309999704360962,444943
RREI.CA,Real Estate,2022-01-22 22:00:00,0.8309999704360962,0.8299999833106995,0.7960000038146973,0.8029999732971191,0.8029999732971191,1168605
RREI.CA,Real Estate,2022-01-23 22:00:00,0.8029999732971191,0.8180000185966492,0.7799999713897705,0.7839999794960022,0.7839999794960022,796479
RREI.CA,Real Estate,2022-01-24 22:00:00,0.7839999794960022,0.8100000023841858,0.7670000195503235,0.7739999890327454,0.7739999890327454,1538231
RREI.CA,Real Estate,2022-01-25 22:00:00,0.7739999890327454,0.800000011920929,0.7429999709129333,0.7519999742507935,0.7519999742507935,2081190
RREI.CA,Real Estate,2022-01-29 22:00:00,0.7519999742507935,0.7689999938011169,0.7300000190734863,0.7350000143051147,0.7350000143051147,508843
RREI.CA,Real Estate,2022-01-30 22:00:00,0.7350000143051147,0.75,0.7239999771118164,0.7429999709129333,0.7429999709129333,568130
RREI.CA,Real Estate,2022-01-31 22:00:00,0.7429999709129333,0.7639999985694885,0.7369999885559082,0.7459999918937683,0.7459999918937683,1155676
RREI.CA,Real Estate,2022-02-01 22:00:00,0.7459999918937683,0.7699999809265137,0.7440000176429749,0.7459999918937683,0.7459999918937683,751505
RREI.CA,Real Estate,2022-02-02 22:00:00,0.7459999918937683,0.7590000033378601,0.7329999804496765,0.7369999885559082,0.7369999885559082,670633
RREI.CA,Real Estate,2022-02-05 22:00:00,0.7369999885559082,0.7620000243186951,0.7400000095367432,0.7549999952316284,0.7549999952316284,1682493
RREI.CA,Real Estate,2022-02-06 22:00:00,0.7549999952316284,0.7950000166893005,0.7630000114440918,0.7889999747276306,0.7889999747276306,5305112
RREI.CA,Real Estate,2022-02-07 22:00:00,0.7889999747276306,0.8769999742507935,0.7940000295639038,0.8519999980926514,0.8519999980926514,12873531
RREI.CA,Real Estate,2022-02-08 22:00:00,0.8519999980926514,0.8830000162124634,0.8299999833106995,0.8399999737739563,0.8399999737739563,4686331
RREI.CA,Real Estate,2022-02-09 22:00:00,0.8399999737739563,0.8600000143051147,0.8130000233650208,0.8149999976158142,0.8149999976158142,2406906
RREI.CA,Real Estate,2022-02-12 22:00:00,0.8149999976158142,0.8149999976158142,0.699999988079071,0.7049999833106995,0.7049999833106995,2915531
RREI.CA,Real Estate,2022-02-13 22:00:00,0.7049999833106995,0.7379999756813049,0.6869999766349792,0.7049999833106995,0.7049999833106995,5075329
RREI.CA,Real Estate,2022-02-14 22:00:00,0.7049999833106995,0.7450000047683716,0.7080000042915344,0.7200000286102295,0.7200000286102295,3310573
RREI.CA,Real Estate,2022-02-15 22:00:00,0.7200000286102295,0.7429999709129333,0.7139999866485596,0.7279999852180481,0.7279999852180481,2556440
RREI.CA,Real Estate,2022-02-16 22:00:00,0.7279999852180481,0.7279999852180481,0.7070000171661377,0.7160000205039978,0.7160000205039978,1134820
RREI.CA,Real Estate,2022-02-19 22:00:00,0.7160000205039978,0.7149999737739563,0.6679999828338623,0.6729999780654907,0.6729999780654907,3063445
RREI.CA,Real Estate,2022-02-20 22:00:00,0.6729999780654907,0.6980000138282776,0.6660000085830688,0.6769999861717224,0.6769999861717224,2072884
RREI.CA,Real Estate,2022-02-21 22:00:00,0.6769999861717224,0.6779999732971191,0.6499999761581421,0.6629999876022339,0.6629999876022339,1668546
RREI.CA,Real Estate,2022-02-22 22:00:00,0.6629999876022339,0.6890000104904175,0.6669999957084656,0.6769999861717224,0.6769999861717224,1455693
RREI.CA,Real Estate,2022-02-23 22:00:00,0.6769999861717224,0.6299999952316284,0.5699999928474426,0.5799999833106995,0.5799999833106995,3305882
RREI.CA,Real Estate,2022-02-26 22:00:00,0.5799999833106995,0.6259999871253967,0.5929999947547913,0.6179999709129333,0.6179999709129333,1884465
RREI.CA,Real Estate,2022-02-27 22:00:00,0.6179999709129333,0.6200000047683716,0.5849999785423279,0.6010000109672546,0.6010000109672546,1791229
RREI.CA,Real Estate,2022-02-28 22:00:00,0.6010000109672546,0.6489999890327454,0.6010000109672546,0.6299999952316284,0.6299999952316284,3356227
RREI.CA,Real Estate,2022-03-01 22:00:00,0.6299999952316284,0.6489999890327454,0.6200000047683716,0.6299999952316284,0.6299999952316284,4218170
RREI.CA,Real Estate,2022-03-02 22:00:00,0.6299999952316284,0.6489999890327454,0.6299999952316284,0.6320000290870667,0.6320000290870667,1738288
RREI.CA,Real Estate,2022-03-05 22:00:00,0.6320000290870667,0.6370000243186951,0.6150000095367432,0.628000020980835,0.628000020980835,721141
RREI.CA,Real Estate,2022-03-06 22:00:00,0.628000020980835,0.6299999952316284,0.6029999852180481,0.609000027179718,0.609000027179718,1439911
RREI.CA,Real Estate,2022-03-07 22:00:00,0.609000027179718,0.609000027179718,0.609000027179718,0.609000027179718,0.609000027179718,0
RREI.CA,Real Estate,2022-03-08 22:00:00,0.6029999852180481,0.6200000047683716,0.597000002861023,0.6010000109672546,0.6010000109672546,1928749
RREI.CA,Real Estate,2022-03-09 22:00:00,0.6010000109672546,0.6150000095367432,0.6000000238418579,0.6019999980926514,0.6019999980926514,1351436
RREI.CA,Real Estate,2022-03-12 22:00:00,0.6019999980926514,0.6100000143051147,0.574999988079071,0.5789999961853027,0.5789999961853027,2249302
RREI.CA,Real Estate,2022-03-13 22:00:00,0.5789999961853027,0.5789999961853027,0.5730000138282776,0.5730000138282776,0.5730000138282776,2250492
RREI.CA,Real Estate,2022-03-14 22:00:00,0.5730000138282776,0.5870000123977661,0.5699999928474426,0.5740000009536743,0.5740000009536743,1736898
RREI.CA,Real Estate,2022-03-15 22:00:00,0.5740000009536743,0.6029999852180481,0.5799999833106995,0.6000000238418579,0.6000000238418579,1270563
