symbol,sector,raw_date_utc,open,high,low,close,adj_close,volume
COPR.CA,Real Estate,2022-01-01 22:00:00,27.049999237060547,27.049999237060547,27.049999237060547,27.049999237060547,27.049999237060547,0
COPR.CA,Real Estate,2022-01-02 22:00:00,27.049999237060547,25.700000762939453,25.700000762939453,27.049999237060547,27.049999237060547,1751
COPR.CA,Real Estate,2022-01-03 22:00:00,27.049999237060547,27.049999237060547,27.049999237060547,27.049999237060547,27.049999237060547,0
COPR.CA,Real Estate,2022-01-04 22:00:00,27.049999237060547,25.700000762939453,25.700000762939453,25.700000762939453,25.700000762939453,40477
COPR.CA,Real Estate,2022-01-08 22:00:00,25.700000762939453,25.700000762939453,25.700000762939453,25.700000762939453,25.700000762939453,0
COPR.CA,Real Estate,2022-01-09 22:00:00,25.15999984741211,25.0,23.90999984741211,25.15999984741211,25.15999984741211,8883
COPR.CA,Real Estate,2022-01-10 22:00:00,25.15999984741211,24.700000762939453,23.90999984741211,24.0,24.0,168502
COPR.CA,Real Estate,2022-01-11 22:00:00,24.0,24.0,22.799999237060547,24.0,24.0,3496
COPR.CA,Real Estate,2022-01-12 22:00:00,24.0,23.81999969482422,22.799999237060547,24.0,24.0,939
COPR.CA,Real Estate,2022-01-15 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-16 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-17 22:00:00,24.0,23.0,22.799999237060547,24.0,24.0,2809
COPR.CA,Real Estate,2022-01-18 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-19 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-22 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-23 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-24 22:00:00,24.0,24.0,24.0,24.0,24.0,0
COPR.CA,Real Estate,2022-01-25 22:00:00,24.0,23.0,22.989999771118164,23.0,23.0,19349
COPR.CA,Real Estate,2022-01-29 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-01-30 22:00:00,23.0,21.850000381469727,21.850000381469727,23.0,23.0,250
COPR.CA,Real Estate,2022-01-31 22:00:00,23.0,21.850000381469727,21.850000381469727,23.0,23.0,255
COPR.CA,Real Estate,2022-02-01 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-02 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-05 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-06 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-07 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-08 22:00:00,23.0,21.850000381469727,21.850000381469727,23.0,23.0,1000
COPR.CA,Real Estate,2022-02-09 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-12 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-13 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-14 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-15 22:00:00,23.0,21.850000381469727,21.850000381469727,23.0,23.0,10
COPR.CA,Real Estate,2022-02-16 22:00:00,23.0,21.850000381469727,21.850000381469727,23.0,23.0,950
COPR.CA,Real Estate,2022-02-19 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-20 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-21 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-22 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-23 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-26 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-27 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-02-28 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-03-01 22:00:00,23.0,21.850000381469727,21.850000381469727,23.0,23.0,50
COPR.CA,Real Estate,2022-03-02 22:00:00,23.0,23.0,23.0,23.0,23.0,0
COPR.CA,Real Estate,2022-03-05 22:00:00,23.0,23.0,23.0,23.0,23.0,0
