ticker,company_name,as_of_date,isin,reuters_code,weight_percent,source_url
ACTF,Act Financial,2026-07-26,EGS7D5P1C019,ACTF.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
KRDI,Al Khair River For Development Agricultural Investment&Envir,2026-07-26,EGS02291C010,KRDI.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
ATLC,Al Tawfeek Leasing Company-A.T.LEASE,2026-07-26,EGS676N1C015,ATLC.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
ALCN,Alexandria Containers and goods,2026-07-26,EGS42111C012,ALCN.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
AFMC,Alexandria Flour Mills,2026-07-26,EGS30471C014,AFMC.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
AMER,Amer Group Holding,2026-07-26,EGS675S1C011,AMER.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
ARAB,Arab Developers Holding,2026-07-26,EGS694A1C018,ARAB.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
AMIA,Arab Moltaka Investments Co,2026-07-26,EGS67221C019,AMIA.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
AIDC,Arabia for Investment and Development,2026-07-26,EGS65R01C015,AIDC.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
AIHC,Arabia Investments Holding,2026-07-26,EGS21351C019,AIHC.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
ASCM,ASEC Company For Mining - ASCOM,2026-07-26,EGS10001C013,ASCM.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
ASPI,Aspire Capital Holding For Financial Investments,2026-07-26,EGS691L1C018,ASPI.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
COSG,Cairo Oils & Soap,2026-07-26,EGS30581C010,COSG.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
POUL,Cairo Poultry,2026-07-26,EGS02051C018,POUL.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
CSAG,Canal Shipping Agencies,2026-07-26,EGS44031C010,CSAG.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
PRCL,Ceramic & Porcelain,2026-07-26,EGS3C111C019,PRCL.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
CNFN,Contact Financial Holding,2026-07-26,EGS738I1C018,CNFN.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
CIEB,Credit Agricole Egypt,2026-07-26,EGS60041C018,CIEB.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
DAPH,Development & Engineering Consultants,2026-07-26,EGS65081C019,DAPH.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
DSCW,Dice Sport & Casual Wear,2026-07-26,EGS33321C018,DSCW.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
EGTS,Egyptian for Tourism Resorts,2026-07-26,EGS70431C019,EGTS.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
PHAR,Egyptian International Pharmaceuticals (EIPICO),2026-07-26,EGS38081C013,PHAR.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
MPRC,Egyptian Media Production City,2026-07-26,EGS78021C010,MPRC.CA,,https://egx.com.eg/en/currentindexconstituntes.aspx?nav=16&type=16
