ticker,date,event_type,description,details_json
MASR,2026-08-09,EARNINGS,مدينة مصر للاسكان والتعمير (MASR.CA) - قرارات مجلس إدارة الشركة,
MFPC,2026-08-12,EARNINGS,مصر لإنتاج الأسمدة - موبكو (MFPC.CA) - قرارات مجلس إدارة الشركة,
MPCI,2026-07-30,EARNINGS,ممفيس للادوية والصناعات الكيماوية (MPCI.CA) - قرارات مجلس إدارة الشركة,
NCCW,2026-08-05,EARNINGS,النصر للأعمال المدنية (NCCW.CA) - قرارات مجلس إدارة الشركة,
NIPH,2026-08-06,EARNINGS,النيل للادوية والصناعات الكيماوية - النيل (NIPH.CA) - قرارات مجلس إدارة الشركة,
NIPH,2026-08-11,EARNINGS,النيل للادوية والصناعات الكيماوية - النيل (NIPH.CA) - رد الشركة على تقرير الجهاز المركزي للمحاسبات,
OIH,2026-08-18,EARNINGS,بيان من اوراسكوم للاستثمار القابضة (OIH.CA) بخصوص القوائم المالية,
ORAS,2026-08-17,EARNINGS,بيان من اوراسكوم كونستراكشون بي ال سي (ORAS.CA) بخصوص نتائج الأعمال,
ORHD,2026-08-12,EARNINGS,بيان من اوراسكوم للتنمية مصر (ORHD.CA) بخصوص تقرير نتائج الأعمال,
POUL,2026-08-13,EARNINGS,القاهرة للدواجن (POUL.CA) - قرارات مجلس إدارة الشركة,
PRCL,2026-08-11,EARNINGS,العامة لمنتجات الخزف والصيني (PRCL.CA) - قرارات مجلس إدارة الشركة,
RACC,2026-08-12,EARNINGS,بيان من Raya Customer Experienceراية لخدمات مراكزالاتصالات (RACC.CA) بخصوص تقرير نتائج الأعمال,
RAYA,2026-08-13,EARNINGS,بيان من راية القابضة للأستثمارات المالية (RAYA.CA) بخصوص نتائج الأعمال,
SDTI,2026-08-12,EARNINGS,استدراك من شارم دريمز للاستثمار السياحى (SDTI.CA) بخصوص القوائم المالية,
SIPC,2026-08-12,EARNINGS,سبأ الدولية للأدوية والصناعات الكيماوية (SIPC.CA) - محضر اجتماع مجلس إدارة الشركة,
SIPC,2026-08-18,EARNINGS,سبأ الدولية للأدوية والصناعات الكيماوية (SIPC.CA) - رد الشركة علي تقرير مراقب الحسابات,
SKPC,2026-07-30,EARNINGS,سيدى كرير للبتروكيماويات - سيدبك (SKPC.CA) - قرارات مجلس إدارة الشركة,
SWDY,2026-08-12,EARNINGS,بيان من السويدى اليكتريك (SWDY.CA) بخصوص نتائج الأعمال,
TAQA,2026-08-12,EARNINGS,طاقة عربية (TAQA.CA) - قرارات مجلس إدارة الشركة,
VALU,2026-08-10,EARNINGS,بيان من يو للتمويل الاستهلاكى (VALU.CA) بشأن نتائج الأعمال,
VALU,2026-08-11,EARNINGS,"Valu’s net income rose 43% in 1H 2026, but quarterly growth slowed sharply in 2Q",
ZEOT,2026-08-11,EARNINGS,الزيوت المستخلصة ومنتجاتها (ZEOT.CA) - قرارات مجلس إدارة الشركة,
ZMID,2026-07-30,EARNINGS,زهراء المعادي للاستثمار والتعمير (ZMID.CA) - قرارات مجلس إدارة الشركة,
